Source,Title,Location,Phone
https://www.apartments.com/chicago-il/,Presidential Towers,"555 W Madison St, Chicago, IL 60661",(708) 725-1991
https://www.apartments.com/chicago-il/,180 North Jefferson,"180 N Jefferson St, Chicago, IL 60661",(708) 303-6736
https://www.apartments.com/chicago-il/,Shoreham and Tides,"400 E South Water St, Chicago, IL 60601",(708) 775-3187
https://www.apartments.com/chicago-il/,Elevate,"930 W Altgeld St, Chicago, IL 60614",(708) 512-8807
https://www.apartments.com/chicago-il/,The Residences at NewCity,"1457 N Halsted St, Chicago, IL 60642",(708) 919-2291
https://www.apartments.com/chicago-il/,MILA,"200 N Michigan Ave, Chicago, IL 60601",(844) 789-2621
https://www.apartments.com/chicago-il/,Sentral Michigan Avenue,"808 S Michigan Ave, Chicago, IL 60605",(708) 797-6742
https://www.apartments.com/chicago-il/,The 808 Cleveland,"808 N Cleveland Ave, Chicago, IL 60610",(708) 934-9407
https://www.apartments.com/chicago-il/,Post,"853 W Blackhawk St, Chicago, IL 60642",(224) 935-9769
https://www.apartments.com/chicago-il/,The Kent,"2623-2627 N Clark St, Chicago, IL 60614",(631) 619-5730
https://www.apartments.com/chicago-il/,Covington - 4600 N Clarendon Ave,"4600 N Clarendon Ave, Chicago, IL 60640",(708) 622-5006
https://www.apartments.com/chicago-il/,OneEleven,"111 W Wacker Dr, Chicago, IL 60601",(708) 725-0291
https://www.apartments.com/chicago-il/,Century Tower,"182 W Lake St, Chicago, IL 60601",(708) 622-0865
https://www.apartments.com/chicago-il/,Aqua at Lakeshore East,"225 N Columbus Dr, Chicago, IL 60601",(708) 797-2996
https://www.apartments.com/chicago-il/,Arrive South Loop,"1935 S Wabash Ave, Chicago, IL 60616",(708) 919-2774
https://www.apartments.com/chicago-il/,Prairie Shores,"2937 South King Dr, Chicago, IL 60616",(708) 637-0212
https://www.apartments.com/chicago-il/,River West Lofts,"925 W Huron St, Chicago, IL 60642",(866) 747-9084
https://www.apartments.com/chicago-il/,Park View Apartments,"1936 N Clark St, Chicago, IL 60614",(708) 477-3743
https://www.apartments.com/chicago-il/,The Gallery on Wells,"637 N Wells St, Chicago, IL 60654",(847) 581-6405
https://www.apartments.com/chicago-il/,JeffJack Apartments,"601 W Jackson Blvd, Chicago, IL 60661",(708) 775-2285
https://www.apartments.com/chicago-il/,SoNo East,"840 W Blackhawk St, Chicago, IL 60642",(708) 303-7522
https://www.apartments.com/chicago-il/,The Apartments at Lincoln Common,"2345 N Lincoln Ave, Chicago, IL 60614",(224) 998-0053
https://www.apartments.com/chicago-il/,Astoria Tower,"8 E 9th St, Chicago, IL 60605",(708) 637-0289
https://www.apartments.com/chicago-il/,The Maynard at 5115 N Sheridan,"5101-5115 N Sheridan Rd, Chicago, IL 60640",(224) 529-3357
https://www.apartments.com/chicago-il/,The Streeter,"345 E Ohio St, Chicago, IL 60611",(708) 303-7718
https://www.apartments.com/chicago-il/,The Shelby,"2300 S Michigan Ave, Chicago, IL 60616",(708) 919-2416
https://www.apartments.com/chicago-il/,420 E Ohio St,"420 E Ohio St, Chicago, IL 60611",(708) 775-2663
https://www.apartments.com/chicago-il/,The Bryn - 5600 N Sheridan Rd,"5600 N Sheridan Rd, Chicago, IL 60660",(224) 529-4428
https://www.apartments.com/chicago-il/,AMLI River North,"71 W Hubbard St, Chicago, IL 60654",(708) 725-1396
https://www.apartments.com/chicago-il/,Next Apartments,"347 W Chestnut St, Chicago, IL 60610",(708) 775-3223
https://www.apartments.com/chicago-il/,21 E Chestnut St,"21 E Chestnut St, Chicago, IL 60611",(708) 637-0434
https://www.apartments.com/chicago-il/,Beachside Apartments,"5815 N Sheridan Rd, Chicago, IL 60660",(708) 613-8123
https://www.apartments.com/chicago-il/,Winthrop Terrace,"5734 N Winthrop, Chicago, IL 60660",(224) 328-1363
https://www.apartments.com/chicago-il/,Echelon Chicago,"353 N Desplaines St, Chicago, IL 60661",(224) 470-8049
https://www.apartments.com/chicago-il/,Vue53,"1324-1346 E 53rd St, Chicago, IL 60615",(219) 600-4516
https://www.apartments.com/chicago-il/,The Morgan at Loyola Station,"1209 W Arthur Ave, Chicago, IL 60626",(224) 328-2144
https://www.apartments.com/chicago-il/,River City Apartments,"800 S Wells St, Chicago, IL 60607",(708) 553-4258
https://www.apartments.com/chicago-il/,Midpointe Apartments,"4050-4064 W 115th St, Chicago, IL 60655",(708) 816-2685
https://www.apartments.com/chicago-il/,Lake Meadows Apartments,"3233 S King, Chicago, IL 60616",(708) 797-6733
https://www.apartments.com/chicago-il/,Left Bank,"300 N Canal St, Chicago, IL 60606",(708) 725-0913
