Source,Title,Location,Phone
https://www.apartments.com/chicago-il/,500 Lake Shore Drive,"500 N Lake Shore Dr, Chicago, IL 60611",(708) 919-3597
https://www.apartments.com/chicago-il/,K2 Apartments,"365 N Halsted St, Chicago, IL 60661",(708) 775-2345
https://www.apartments.com/chicago-il/,Landmark West Loop,"1035 W Van Buren St, Chicago, IL 60607",(708) 853-6779
https://www.apartments.com/chicago-il/,North+Vine,"633 W North Ave, Chicago, IL 60610",(708) 775-2218
https://www.apartments.com/chicago-il/,100 West Chestnut Apartments,"100 W Chestnut St, Chicago, IL 60610",(708) 919-3601
https://www.apartments.com/chicago-il/,Onni Fulton Market,"354 N Union Ave, Chicago, IL 60661",(708) 797-9487
https://www.apartments.com/chicago-il/,Coppia,"1101 W Van Buren St, Chicago, IL 60607",(872) 529-3535
https://www.apartments.com/chicago-il/,731 Plymouth by 3L Living,"731 S Plymouth Ct, Chicago, IL 60605",(708) 934-4095
https://www.apartments.com/chicago-il/,820 Michigan by 3L Living,"820 S Michigan Ave, Chicago, IL 60605",(708) 637-0432
https://www.apartments.com/chicago-il/,Linea Apartments,"215 W Lake St, Chicago, IL 60606",(708) 775-2221
https://www.apartments.com/chicago-il/,1401 S. State,"1401 S State St, Chicago, IL 60605",(708) 775-3592
https://www.apartments.com/chicago-il/,Emme,"165 N Desplaines St, Chicago, IL 60661",(708) 853-6117
https://www.apartments.com/chicago-il/,Lake Shore Plaza,"445 E Ohio St, Chicago, IL 60611",(708) 919-2978
https://www.apartments.com/chicago-il/,The Alfred,"30 E Adams St, Chicago, IL 60603",(708) 477-3490
https://www.apartments.com/chicago-il/,The Row Fulton Market,"164 N Peoria St, Chicago, IL 60607",(708) 498-4514
https://www.apartments.com/chicago-il/,30 E. Roosevelt Rd,"30 E Roosevelt Rd, Chicago, IL 60605",(708) 934-8132
https://www.apartments.com/chicago-il/,21st Street Lofts,"61 E 21st St, Chicago, IL 60616",(708) 797-9571
https://www.apartments.com/chicago-il/,Brix on Morse,"1340 W Morse Ave, Chicago, IL 60626",(224) 215-7672
https://www.apartments.com/chicago-il/,Addams Coliving,"1407 W 15th St, Chicago, IL 60608",(708) 316-4691
https://www.apartments.com/chicago-il/,AM1980,"1980 N Milwaukee Ave, Chicago, IL 60647",(708) 512-7698
https://www.apartments.com/chicago-il/,The Pavilion,"5441 NE NEast River Rd, Chicago, IL 60656",(630) 250-3139
https://www.apartments.com/chicago-il/,6954 N Sheridan Rd,"6954 N Sheridan Rd, Chicago, IL 60626",(224) 344-1681
https://www.apartments.com/chicago-il/,The Flamingo Apartments,"5500 S Shore Dr, Chicago, IL 60637",(708) 298-4277
https://www.apartments.com/chicago-il/,Edith Spurlock Sampson Apartments,"2720 N Sheffield Ave, Chicago, IL 60614",(833) 605-2466
https://www.apartments.com/chicago-il/,Times Square Apartments,"869 W Buena Ave, Chicago, IL 60613",(708) 695-6145
https://www.apartments.com/chicago-il/,5748 Blackstone By 3L Living,"5748 S Blackstone Ave, Chicago, IL 60637",(219) 600-3515
https://www.apartments.com/chicago-il/,5445 Ingleside By 3L Living,"5445 S Ingleside Ave, Chicago, IL 60615",(708) 572-3370
https://www.apartments.com/chicago-il/,Sheffield of Lincoln Park,"2700 N Sheffield Ave, Chicago, IL 60614",(708) 725-0076
https://www.apartments.com/chicago-il/,Park 205,"205 W Touhy Ave, Park Ridge, IL 60068",(224) 282-0526
https://www.apartments.com/chicago-il/,Ridgeland Flats,"261 Washington Blvd, Oak Park, IL 60302",(708) 934-8986
https://www.apartments.com/chicago-il/,1000 South Clark,"1000 S Clark St., Chicago, IL 60605",(708) 725-1136
https://www.apartments.com/chicago-il/,Cortland River North,"220 W Illinois St, Chicago, IL 60654",(708) 797-9427
https://www.apartments.com/chicago-il/,Chestnut Place,"8 W Chestnut St, Chicago, IL 60610",(708) 477-3238
https://www.apartments.com/chicago-il/,Chateau Wells,"707 N Wells St, Chicago, IL 60654",(872) 274-4049
https://www.apartments.com/chicago-il/,The Eagle Building - 3833 N Broadway,"3833 N Broadway St, Chicago, IL 60613",(312) 465-4096
https://www.apartments.com/chicago-il/,Env Chicago,"345 N Wells St, Chicago, IL 60654",(708) 725-1481
https://www.apartments.com/chicago-il/,The Montrose,"4334 N Hazel St, Chicago, IL 60613",(224) 344-2793
https://www.apartments.com/chicago-il/,2555 N Clark St,"2555 N Clark St, Chicago, IL 60614",(708) 919-3546
https://www.apartments.com/chicago-il/,The Bush Temple,"800 N Clark St, Chicago, IL 60610",(708) 919-2505
https://www.apartments.com/chicago-il/,The Hudson,"750 N Hudson Ave, Chicago, IL 60654",(708) 426-1180
