Source,Title,Location,Phone
https://www.apartments.com/chicago-il/,AMLI Lofts,"850 S Clark St, Chicago, IL 60605",(609) 916-1265
https://www.apartments.com/chicago-il/,Exhibit on Superior,"165 W Superior St, Chicago, IL 60654",(708) 401-9108
https://www.apartments.com/chicago-il/,North Harbor Tower,"175 N Harbor Dr, Chicago, IL 60601",(708) 775-3334
https://www.apartments.com/chicago-il/,The Chicagoan,"750 N RUSH St, CHICAGO, IL 60611",(708) 797-9767
https://www.apartments.com/chicago-il/,727 West Madison,"727 W Madison St, Chicago, IL 60661",(708) 797-7069
https://www.apartments.com/chicago-il/,1001 South State,"1001 S State St, Chicago, IL 60605",(708) 298-5546
https://www.apartments.com/chicago-il/,West77 Apartments,"77 W Huron, Chicago, IL 60654",(708) 775-2543
https://www.apartments.com/chicago-il/,The Sinclair,"1201 N La Salle Dr, Chicago, IL 60610",(708) 725-1404
https://www.apartments.com/chicago-il/,SoNu Digs,"1515 N Fremont St, Chicago, IL 60642",(708) 725-1662
https://www.apartments.com/chicago-il/,Wolf Point East,"313 W Wolf Point Plz, Chicago, IL 60654",(312) 764-1281
https://www.apartments.com/chicago-il/,Lawrence Lofts,"1049 W Lawrence Ave, Chicago, IL 60640",(224) 435-5243
https://www.apartments.com/chicago-il/,One Six Six,"166 N Aberdeen St, Chicago, IL 60607",(708) 393-8249
https://www.apartments.com/chicago-il/,1400 Wabash,"1400 S Wabash Ave, Chicago, IL 60605",(708) 725-1581
https://www.apartments.com/chicago-il/,Paper Box Lofts,"153 W Ohio St, Chicago, IL 60654",(708) 577-5784
https://www.apartments.com/chicago-il/,River North Park Apartments,"320 W Illinois St, Chicago, IL 60654",(708) 775-3611
https://www.apartments.com/chicago-il/,One Superior Place,"1 W Superior St, Chicago, IL 60654",(708) 919-3364
https://www.apartments.com/chicago-il/,Marquee at Block 37,"25 W Randolph St, Chicago, IL 60601",(708) 919-2716
https://www.apartments.com/chicago-il/,465 North Park,"465 N Park Dr, Chicago, IL 60611",(708) 725-1453
https://www.apartments.com/chicago-il/,Arrive Michigan Avenue,"1326 S Michigan Ave, Chicago, IL 60605",(708) 683-3561
https://www.apartments.com/chicago-il/,Marlowe,"169 W Huron St, Chicago, IL 60654",(844) 620-7978
https://www.apartments.com/chicago-il/,Cassidy on Canal,"350 N Canal St, Chicago, IL 60606",(866) 850-8920
https://www.apartments.com/chicago-il/,The Bernardin,"747 N Wabash Ave, Chicago, IL 60611",(708) 775-2468
https://www.apartments.com/chicago-il/,Coast at Lakeshore East,"345 E Wacker Dr, Chicago, IL 60601",(708) 434-2554
https://www.apartments.com/chicago-il/,Wolf Point West,"343 W Wolf Point Plz, Chicago, IL 60654",(312) 564-5523
https://www.apartments.com/chicago-il/,One Chicago,"14 W Superior St, Chicago, IL 60654",(708) 775-3996
https://www.apartments.com/chicago-il/,Residences at 8 E Huron,"8 E Huron St, Chicago, IL 60611",(708) 393-2727
https://www.apartments.com/chicago-il/,Fisher Building Apartments,"343 S Dearborn St, Chicago, IL 60604",(312) 685-4327
https://www.apartments.com/chicago-il/,The Belden Stratford,"2300 N Lincoln Park, Chicago, IL 60614",(224) 470-7746
https://www.apartments.com/chicago-il/,The Main,"847 Chicago Ave, Evanston, IL 60202",(224) 269-6382
https://www.apartments.com/chicago-il/,The Grove Luxury Townhomes,"3000 Cottonwood Ln, River Grove, IL 60171",(708) 695-6233
https://www.apartments.com/chicago-il/,73 East Lake,"73 E Lake St, Chicago, IL 60601",(646) 362-4878
https://www.apartments.com/chicago-il/,State and Grand,"505 N State St, Chicago, IL 60654",(708) 303-7775
https://www.apartments.com/chicago-il/,920 N Wells St,"920 N Wells St, Chicago, IL 60610",(708) 725-1011
https://www.apartments.com/chicago-il/,One Bennett Park,"514 N Peshtigo Ct, Chicago, IL 60611",(708) 919-3001
https://www.apartments.com/chicago-il/,Lofts At River East,"401-465 E Illinois St, Chicago, IL 60611",(708) 683-4818
https://www.apartments.com/chicago-il/,Aurelien,"833 N Clark St, Chicago, IL 60610",(708) 665-2652
https://www.apartments.com/chicago-il/,The Van Buren,"808 W Van Buren St, Chicago, IL 60607",(708) 775-3244
https://www.apartments.com/chicago-il/,Eleven40,"1140 So Wabash Ave, Chicago, IL 60605",(708) 775-2321
https://www.apartments.com/chicago-il/,868 N. Wells,"868 N Wells St, Chicago, IL 60610",(888) 893-6096
https://www.apartments.com/chicago-il/,State & Chestnut,"845 N State St, Chicago, IL 60610",(708) 725-1820
